timestamp_ms,thread,event,preempt_count
11020023,Vision,PREEMPTED,312
11020028,Flight,START,3
11020028,Flight,END,3
11020032,Vision,PREEMPTED,314
11020038,Flight,START,3
11020038,Flight,END,3
11020040,Vision,PREEMPTED,316
11020048,Flight,START,3
11020048,Flight,END,3
11020052,Vision,PREEMPTED,317
11020058,Flight,START,3
11020058,Flight,END,3
11020061,Vision,PREEMPTED,319
11020068,Flight,START,3
11020068,Flight,END,3
11020069,Vision,PREEMPTED,320
11020073,Vision,PREEMPTED,321
11020078,Flight,START,3
11020078,Flight,END,3
11020081,Vision,PREEMPTED,327
11020088,Flight,START,3
11020088,Flight,END,3
11020089,Vision,PREEMPTED,328
11020093,Vision,PREEMPTED,329
11020098,Flight,START,3
11020098,Flight,END,3
11020100,Vision,PREEMPTED,331
11020108,Flight,START,3
11020108,Flight,END,3
11020109,Vision,PREEMPTED,332
11020113,Vision,PREEMPTED,333
11020118,Flight,START,3
11020118,Flight,END,3
11020122,Vision,PREEMPTED,335
11020128,Flight,START,3
11020128,Flight,END,3
11020129,Vision,PREEMPTED,336
11020134,Vision,PREEMPTED,340
11020138,Flight,START,3
11020138,Flight,END,3
11020142,Vision,PREEMPTED,342
11020148,Flight,START,3
11020148,Flight,END,3
11020150,Vision,PREEMPTED,343
11020154,Vision,PREEMPTED,344
11020158,Flight,START,3
11020158,Flight,END,3
11020158,Vision,PREEMPTED,345
11020162,Vision,PREEMPTED,346
11020168,Flight,START,3
11020168,Flight,END,3
11020171,Vision,PREEMPTED,348
11020178,Flight,START,3
11020178,Flight,END,3
11020178,Vision,PREEMPTED,349
11020182,Vision,PREEMPTED,350
11020188,Flight,START,3
11020188,Flight,END,3
11020190,Vision,PREEMPTED,352
11020198,Flight,START,3
11020198,Flight,END,3
11020202,Vision,PREEMPTED,353
11020208,Flight,START,3
11020208,Flight,END,3
11020211,Vision,PREEMPTED,355
11020218,Flight,START,3
11020218,Flight,END,3
11020219,Vision,PREEMPTED,356
11020223,Vision,PREEMPTED,357
11020228,Flight,START,3
11020228,Flight,END,3
11020231,Vision,PREEMPTED,359
11020238,Flight,START,3
11020238,Flight,END,3
11020238,Vision,PREEMPTED,360
11020242,Vision,PREEMPTED,361
11020248,Flight,START,3
11020248,Flight,END,3
11020251,Vision,PREEMPTED,363
11020258,Flight,START,3
11020258,Flight,END,3
11020259,Vision,PREEMPTED,364
11020263,Vision,PREEMPTED,365
11020268,Flight,START,3
11020268,Flight,END,3
11020270,Vision,PREEMPTED,367
11020278,Flight,START,3
11020278,Flight,END,3
11020278,Vision,PREEMPTED,368
11020282,Vision,PREEMPTED,369
11020288,Flight,START,3
11020288,Flight,END,3
11020290,Vision,PREEMPTED,370
11020294,Vision,PREEMPTED,371
11020298,Flight,START,3
11020298,Flight,END,3
11020301,Vision,PREEMPTED,373
11020308,Flight,START,3
11020308,Flight,END,3
11020309,Vision,PREEMPTED,374
11020313,Vision,PREEMPTED,375
11020318,Flight,START,3
11020318,Flight,END,3
11020321,Vision,PREEMPTED,377
11020328,Flight,START,3
11020328,Flight,END,3
11020328,Vision,PREEMPTED,378
11020332,Vision,PREEMPTED,379
11020338,Flight,START,3
11020338,Flight,END,3
11020340,Vision,PREEMPTED,380
11020344,Vision,PREEMPTED,381
11020348,Flight,START,3
11020348,Flight,END,3
11020352,Vision,PREEMPTED,382
11020358,Flight,START,3
11020358,Flight,END,3
11020359,Vision,PREEMPTED,383
11020363,Vision,PREEMPTED,384
11020368,Flight,START,3
11020368,Flight,END,3
11020371,Vision,PREEMPTED,386
11020378,Flight,START,3
11020378,Flight,END,3
11020379,Vision,PREEMPTED,387
11020383,Vision,PREEMPTED,394
11020388,Flight,START,3
11020388,Flight,END,3
11020390,Vision,PREEMPTED,395
11020398,Flight,START,3
11020398,Flight,END,3
11020398,Vision,PREEMPTED,396
11020402,Vision,PREEMPTED,397
11020408,Flight,START,3
11020408,Flight,END,3
11020410,Vision,PREEMPTED,398
11020414,Vision,PREEMPTED,399
11020418,Flight,START,3
